,Código IBGE,UF,MUNICiPIO,CoDIGO_NACIONAL
252,5206701,GO,DAMIANÓPOLIS,62
253,5206602,GO,CUMARI,64
254,5206503,GO,CROMÍNIA,64
255,5206404,GO,CRIXÁS,62
256,5206305,GO,CRISTIANÓPOLIS,64
257,5206206,GO,CRISTALINA,61
258,5205901,GO,CORUMBAÍBA,64
259,5205802,GO,CORUMBÁ DE GOIÁS,62
260,5205703,GO,CÓRREGO DO OURO,64
261,5205521,GO,COLINAS DO SUL,62
262,5205513,GO,COCALZINHO DE GOIÁS,62
263,5205497,GO,CIDADE OCIDENTAL,61
264,5205471,GO,CHAPADÃO DO CÉU,64
265,5205455,GO,CEZARINA,64
266,5205406,GO,CERES,62
267,5205307,GO,CAVALCANTE,62
268,5205208,GO,CATURAÍ,62
269,5205109,GO,CATALÃO,64
270,5205059,GO,CASTELÂNDIA,64
271,5205000,GO,CARMO DO RIO VERDE,62
272,5204953,GO,CAMPOS VERDES,62
273,5204904,GO,CAMPOS BELOS,62
274,5204805,GO,CAMPO ALEGRE DE GOIÁS,64
275,5204706,GO,CAMPINORTE,62
276,5204656,GO,CAMPINAÇU,62
277,5204607,GO,CAMPESTRE DE GOIÁS,62
278,5204557,GO,CALDAZINHA,62
279,5204508,GO,CALDAS NOVAS,64
280,5204409,GO,CAIAPÔNIA,64
281,5204300,GO,CAÇU,64
282,5204250,GO,CACHOEIRA DOURADA,64
283,5204201,GO,CACHOEIRA DE GOIÁS,64
284,5204102,GO,CACHOEIRA ALTA,64
285,5204003,GO,CABECEIRAS,61
286,5203962,GO,BURITINÓPOLIS,62
287,5203939,GO,BURITI DE GOIÁS,64
288,5203906,GO,BURITI ALEGRE,64
289,5203807,GO,BRITÂNIA,62
290,5203609,GO,BRAZABRANTES,62
291,5203575,GO,BONÓPOLIS,62
292,5203559,GO,BONFINÓPOLIS,62
293,5203401,GO,BOM JARDIM DE GOIÁS,64
294,5203302,GO,BELA VISTA DE GOIÁS,62
295,5203203,GO,BARRO ALTO,62
296,5203104,GO,BALIZA,64
297,5202809,GO,AVELINÓPOLIS,64
298,5202601,GO,AURILÂNDIA,64
299,5202502,GO,ARUANÃ,62
300,5202353,GO,ARENÓPOLIS,64
301,5202155,GO,ARAGUAPAZ,62
302,5201801,GO,ARAGOIÂNIA,62
